Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Contribution To Reserves/Reserve Funds,510A,Expenses,2440.92
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Equipment,300A,Expenses,9438.67
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Charges,700A,Expenses,27098.44
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Recoveries,750A,Revenues,-272398.6
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Materials & Supplies,200A,Expenses,-976.04
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Other Expenditures,650A,Expenses,16000.04
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Salaries And Benefits,100A,Expenses,8611762.67
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Service And Rent,400A,Expenses,359087.96
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Transfers From Capital,920A,Revenues,-4498297.84
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution From Reserves/Reserve Funds,930A,Revenues,-210169.8
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution To Reserves/Reserve Funds,510A,Expenses,1743.48
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Equipment,300A,Expenses,3487.07
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Charges,700A,Expenses,17453.0
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Recoveries,750A,Revenues,-104600.3
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Materials & Supplies,200A,Expenses,3956.69
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Other Expenditures,650A,Expenses,4800.0
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Salaries And Benefits,100A,Expenses,1797114.78
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Service And Rent,400A,Expenses,17100.8
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Equipment,300A,Expenses,5327.07
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Charges,700A,Expenses,314094.93
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Recoveries,750A,Revenues,-3594184.08
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Materials & Supplies,200A,Expenses,5915.06
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Other Expenditures,650A,Expenses,992600.0
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Salaries And Benefits,100A,Expenses,1169656.55
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Service And Rent,400A,Expenses,1456878.65
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Equipment,300A,Expenses,2130.88
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Inter-Divisional Charges,700A,Expenses,53626.58
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Materials & Supplies,200A,Expenses,4706.96
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Salaries And Benefits,100A,Expenses,1332765.33
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Service And Rent,400A,Expenses,16032.12
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Equipment,300A,Expenses,532.72
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Inter-Divisional Charges,700A,Expenses,10476.13
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Materials & Supplies,200A,Expenses,1031.31
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Salaries And Benefits,100A,Expenses,193234.07
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Service And Rent,400A,Expenses,3238.85
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,User Fees & Donations,850A,Revenues,-15930.0
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Equipment,300A,Expenses,1598.16
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Charges,700A,Expenses,381067.77
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Recoveries,750A,Revenues,-870486.88
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Materials & Supplies,200A,Expenses,2811.1
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Salaries And Benefits,100A,Expenses,1020828.98
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Service And Rent,400A,Expenses,18455.3
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Equipment,300A,Expenses,3729.03
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Inter-Divisional Charges,700A,Expenses,93711.94
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Materials & Supplies,200A,Expenses,5284.81
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Salaries And Benefits,100A,Expenses,1110631.4
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Service And Rent,400A,Expenses,1462492.47
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,User Fees & Donations,850A,Revenues,-908983.5
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Equipment,300A,Expenses,2130.88
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Inter-Divisional Charges,700A,Expenses,54648.28
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Materials & Supplies,200A,Expenses,5010.81
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Salaries And Benefits,100A,Expenses,1400391.4
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Service And Rent,400A,Expenses,316801.88
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Equipment,300A,Expenses,4261.69
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Charges,700A,Expenses,142482.96
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Recoveries,750A,Revenues,-1593781.42
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Materials & Supplies,200A,Expenses,7499.03
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Other Expenditures,650A,Expenses,50000.0
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Salaries And Benefits,100A,Expenses,1943112.37
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Service And Rent,400A,Expenses,799032.99
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,User Fees & Donations,850A,Revenues,-7417604.3
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Equipment,300A,Expenses,4137.95
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Charges,700A,Expenses,159454.14
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Recoveries,750A,Revenues,-1490171.0
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Materials & Supplies,200A,Expenses,21749.11
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Salaries And Benefits,100A,Expenses,643200.48
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Service And Rent,400A,Expenses,492700.98
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Equipment,300A,Expenses,3729.03
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Charges,700A,Expenses,58039.05
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Recoveries,750A,Revenues,-1843364.03
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Materials & Supplies,200A,Expenses,11883.54
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Other Expenditures,650A,Expenses,279529.48
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Salaries And Benefits,100A,Expenses,1620521.67
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Service And Rent,400A,Expenses,171035.44
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Equipment,300A,Expenses,1065.6
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Charges,700A,Expenses,16381.84
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Recoveries,750A,Revenues,-378983.06
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Materials & Supplies,200A,Expenses,2420.47
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Salaries And Benefits,100A,Expenses,872942.67
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Service And Rent,400A,Expenses,7765.19
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,User Fees & Donations,850A,Revenues,-375465.0
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Equipment,300A,Expenses,2130.88
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Charges,700A,Expenses,32248.88
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Recoveries,750A,Revenues,-966909.7
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Materials & Supplies,200A,Expenses,5522.46
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Salaries And Benefits,100A,Expenses,1701298.56
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Service And Rent,400A,Expenses,14809.18
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,User Fees & Donations,850A,Revenues,-212880.0
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Equipment,300A,Expenses,6392.51
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Charges,700A,Expenses,99517.64
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Recoveries,750A,Revenues,-3415987.46
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Materials & Supplies,200A,Expenses,16255.91
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Salaries And Benefits,100A,Expenses,5189837.49
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Service And Rent,400A,Expenses,65413.34
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,User Fees & Donations,850A,Revenues,-65499.35
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Equipment,300A,Expenses,4794.35
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Charges,700A,Expenses,128112.57
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Recoveries,750A,Revenues,-2771637.45
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Materials & Supplies,200A,Expenses,14148.57
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Salaries And Benefits,100A,Expenses,3513871.01
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Service And Rent,400A,Expenses,33710.15
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,User Fees & Donations,850A,Revenues,-164242.65
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Equipment,300A,Expenses,2130.88
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Charges,700A,Expenses,32690.88
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Recoveries,750A,Revenues,-952773.67
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Materials & Supplies,200A,Expenses,5569.7
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Salaries And Benefits,100A,Expenses,1923477.92
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Service And Rent,400A,Expenses,23841.59
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Sundry and Other Revenues,940A,Revenues,-1717885.0
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Transfers From Capital,920A,Revenues,-191756.5
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,User Fees & Donations,850A,Revenues,-3016047.55
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Equipment,300A,Expenses,5454.6
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Charges,700A,Expenses,151712.41
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Recoveries,750A,Revenues,-1127291.29
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Materials & Supplies,200A,Expenses,7155.83
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Salaries And Benefits,100A,Expenses,941505.92
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Service And Rent,400A,Expenses,295468.02
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Equipment,300A,Expenses,1065.44
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Charges,700A,Expenses,131091.84
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Recoveries,750A,Revenues,-1633542.73
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Materials & Supplies,200A,Expenses,992.01
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Salaries And Benefits,100A,Expenses,393144.78
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Service And Rent,400A,Expenses,6875.02
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Equipment,300A,Expenses,14387.88
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Charges,700A,Expenses,56039.04
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Recoveries,750A,Revenues,-1245911.08
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Materials & Supplies,200A,Expenses,8354.57
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Salaries And Benefits,100A,Expenses,1305416.06
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Service And Rent,400A,Expenses,1260260.45
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Sundry and Other Revenues,940A,Revenues,-370000.0
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution From Reserves/Reserve Funds,930A,Revenues,-97000.0
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution To Reserves/Reserve Funds,510A,Expenses,253130.25
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Equipment,300A,Expenses,268130.45
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Charges,700A,Expenses,436029.52
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Recoveries,750A,Revenues,-1416000.0
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Licences & Permits Revenue,860A,Revenues,-348164.47
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Materials & Supplies,200A,Expenses,1706037.45
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Other Expenditures,650A,Expenses,8888119.63
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Provincial Subsidies,805A,Revenues,-3000.0
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Salaries And Benefits,100A,Expenses,13066821.29
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Service And Rent,400A,Expenses,2364047.7
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Sundry and Other Revenues,940A,Revenues,-54444.7
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,User Fees & Donations,850A,Revenues,-1076326.65
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Contribution To Reserves/Reserve Funds,510A,Expenses,741924.56
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Equipment,300A,Expenses,475679.3
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Charges,700A,Expenses,1315661.14
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Recoveries,750A,Revenues,-2486525.0
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Licences & Permits Revenue,860A,Revenues,-748536.66
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Materials & Supplies,200A,Expenses,6224556.46
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Other Expenditures,650A,Expenses,191220.83
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Provincial Subsidies,805A,Revenues,-663472.1
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Salaries And Benefits,100A,Expenses,60169410.81
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Service And Rent,400A,Expenses,11381486.68
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Sundry and Other Revenues,940A,Revenues,-152615.38
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,User Fees & Donations,850A,Revenues,-36525509.31
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Contribution To Reserves/Reserve Funds,510A,Expenses,499775.63
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Equipment,300A,Expenses,312457.77
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Inter-Divisional Charges,700A,Expenses,1143188.37
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Licences & Permits Revenue,860A,Revenues,-431459.14
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Materials & Supplies,200A,Expenses,5907131.37
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Other Expenditures,650A,Expenses,127586.05
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Provincial Subsidies,805A,Revenues,-37500.0
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Salaries And Benefits,100A,Expenses,36496212.64
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Service And Rent,400A,Expenses,4485454.93
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Sundry and Other Revenues,940A,Revenues,-77569.39
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,User Fees & Donations,850A,Revenues,-5879595.98
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Contribution To Reserves/Reserve Funds,510A,Expenses,1046640.1
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Equipment,300A,Expenses,278842.31
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Inter-Divisional Charges,700A,Expenses,6049307.77
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Inter-Divisional Recoveries,750A,Revenues,-129471.0
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Licences & Permits Revenue,860A,Revenues,-2529670.07
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Materials & Supplies,200A,Expenses,8047440.18
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Other Expenditures,650A,Expenses,485139.59
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Provincial Subsidies,805A,Revenues,-6000.0
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Salaries And Benefits,100A,Expenses,33530776.62
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Service And Rent,400A,Expenses,7781894.07
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,Sundry and Other Revenues,940A,Revenues,-245144.23
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recration Facilities,User Fees & Donations,850A,Revenues,-14431164.08
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution From Reserves/Reserve Funds,930A,Revenues,-0.01
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution To Reserves/Reserve Funds,510A,Expenses,43834.56
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Equipment,300A,Expenses,54118.0
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Inter-Divisional Charges,700A,Expenses,223600.04
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Materials & Supplies,200A,Expenses,96769.13
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Other Expenditures,650A,Expenses,-53996.83
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Salaries And Benefits,100A,Expenses,12741589.56
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Service And Rent,400A,Expenses,437862.47
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Sundry and Other Revenues,940A,Revenues,-600.0
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Transfers From Capital,920A,Revenues,-4824010.26
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,User Fees & Donations,850A,Revenues,-1534573.79
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Contribution To Reserves/Reserve Funds,510A,Expenses,342444.98
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Equipment,300A,Expenses,26536.3
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Inter-Divisional Charges,700A,Expenses,91227.37
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Inter-Divisional Recoveries,750A,Revenues,-15000.0
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Materials & Supplies,200A,Expenses,143894.16
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Other Expenditures,650A,Expenses,1.75
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Salaries And Benefits,100A,Expenses,2308577.51
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Service And Rent,400A,Expenses,99810.68
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Sundry and Other Revenues,940A,Revenues,-6319.75
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Contribution To Reserves/Reserve Funds,510A,Expenses,547932.0
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Equipment,300A,Expenses,46920.05
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Inter-Divisional Charges,700A,Expenses,189092.75
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Materials & Supplies,200A,Expenses,371893.04
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Other Expenditures,650A,Expenses,81047.78
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Salaries And Benefits,100A,Expenses,11821382.0
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Service And Rent,400A,Expenses,799043.68
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Sundry and Other Revenues,940A,Revenues,-1070042.81
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Transfers From Capital,920A,Revenues,-3537682.92
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,User Fees & Donations,850A,Revenues,-4040817.95
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution From Reserves/Reserve Funds,930A,Revenues,-524700.0
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution To Reserves/Reserve Funds,510A,Expenses,351295.58
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Equipment,300A,Expenses,56858.75
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Charges,700A,Expenses,82200.23
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Recoveries,750A,Revenues,-1000.0
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Licences & Permits Revenue,860A,Revenues,-179206.78
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Materials & Supplies,200A,Expenses,1048651.33
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Other Expenditures,650A,Expenses,240013.5
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Salaries And Benefits,100A,Expenses,3134565.19
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Service And Rent,400A,Expenses,343824.75
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Sundry and Other Revenues,940A,Revenues,-37832.2
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution From Reserves/Reserve Funds,930A,Revenues,81520.0
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution To Reserves/Reserve Funds,510A,Expenses,5514438.24
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Equipment,300A,Expenses,931324.02
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Charges,700A,Expenses,9446558.93
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Recoveries,750A,Revenues,-1291065.0
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Licences & Permits Revenue,860A,Revenues,-3721232.94
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Materials & Supplies,200A,Expenses,11826456.14
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Other Expenditures,650A,Expenses,2271.25
